Municipality,TPC_2011,TPC_2012,TPC_2013,TPC_2014
HAMDEN,1140.997371,2845.00,2859.00,2987.00
HAMPTON,1357.143703,2741.00,2374.00,3018.00
HARTFORD,337.9282196,924.00,903.00,962.00
HARTLAND,994.8364839,2973.00,3041.00,3063.00
HARWINTON,1607.708274,3613.00,3571.00,3702.00
HEBRON,1694.063476,4469.00,4396.00,4569.00
KENT,1412.690307,5798.00,2892.00,3554.00
KILLINGLY,581.6971148,1404.00,1451.00,1443.00
KILLINGWORTH,1834.203211,4713.00,4796.00,5012.00
LEBANON,1112.679786,2619.00,2736.00,2895.00
LEDYARD,1146.737466,2693.00,2668.00,2898.00
LISBON,904.5773672,2194.00,2416.00,2589.00
LITCHFIELD,1843.405132,4459.00,3950.00,4461.00
LYME,2240.952936,9249.00,6907.00,7497.00
MADISON,2842.959647,6816.00,6767.00,7515.00
MANCHESTER,994.3463208,2239.00,2251.00,2336.00
MANSFIELD,632.2346931,3157.00,3278.00,3376.00
MARLBOROUGH,1791.599376,4519.00,4527.00,4737.00
MERIDEN,729.3293566,1710.00,1726.00,1868.00
MIDDLEBURY,2395.240513,6038.00,5668.00,6219.00
MIDDLEFIELD,1492.251127,3395.00,3466.00,3728.00
MIDDLETOWN,1020.137469,2497.00,2522.00,2608.00
MILFORD,1951.541946,4369.00,4456.00,4560.00
MONROE,1848.448132,4599.00,4708.00,4894.00
MONTVILLE,844.6600113,2055.00,2091.00,2243.00
MORRIS,1378.0059,3380.00,3461.00,3640.00
NAUGATUCK,847.9135492,1940.00,1955.00,2026.00
NEW BRITAIN,450.9454553,1185.00,1154.00,1175.00
NEW CANAAN,10472.60829,24644.00,24760.00,26804.00
NEW FAIRFIELD,1237.954494,2946.00,3108.00,3327.00
NEW HARTFORD,1787.692163,3951.00,3708.00,3962.00
NEW HAVEN,610.2993711,1690.00,1643.00,1700.00
NEW LONDON,482.0105553,,,
NEW MILFORD,1145.095024,,,
NEWINGTON,1192.99503,,,
NEWTOWN,2174.708721,5977.00,5662.00,6075.00
NORFOLK,1414.767373,3410.00,3308.00,3420.00
NORTH BRANFORD,1388.997288,3186.00,3191.00,3665.00
NORTH CANAAN,116.0440061,1565.00,1651.00,1743.00
NORTH HAVEN,1547.659225,3604.00,3499.00,3661.00
NORTH STONINGTON,1251.156232,2839.00,2933.00,3082.00
NORWALK,1411.547641,3173.00,3307.00,3664.00
NORWICH,606.5381113,1450.00,1450.00,1519.00
WETHERSFIELD,1465.879768,3277.00,3199.00,3400.00
WILLINGTON,1158.516327,2816.00,2785.00,2991.00
WILTON,4998.61035,13556.00,12388.00,13927.00
WINCHESTER,859.6804474,1844.00,1862.00,1915.00
WINDHAM,424.1578885,1222.00,1200.00,1270.00
WINDSOR,1230.574363,2620.00,2580.00,2620.00
WINDSOR LOCKS,933.6652275,1942.00,1989.00,2048.00
WOLCOTT,1160.799604,2646.00,2770.00,2856.00
WOODBRIDGE,4098.581105,10308.00,10914.00,13478.00
