Town/County,Year,Industry Name,Measure Type,Value
Marlborough,2014,Accommodation And Food Services,US Dollars,13763.286119
Meriden,2014,Local/Municipal Government,US Dollars,59843.056718
Meriden,2014,Construction,US Dollars,62394.508923
Meriden,2014,Manufacturing,US Dollars,68497.136204
Meriden,2014,Retail Trade,US Dollars,25827.224594
Meriden,2014,Administrative & Waste Management,US Dollars,27350.416368
Meriden,2014,Health Care & Social Assistance,US Dollars,47142.902679
Middlebury,2014,Local/Municipal Government,US Dollars,56514.616877
Middlebury,2014,Construction,US Dollars,-9999
Middlebury,2014,Manufacturing,US Dollars,68896.875
Middlebury,2014,Retail Trade,US Dollars,37025.325391
Middlebury,2014,Management Of Companies & Enterprises,US Dollars,133457.60432
Middlebury,2014,Health Care & Social Assistance,US Dollars,51442.488737
Middlefield,2014,Local/Municipal Government,US Dollars,46859.729032
Middlefield,2014,Construction,US Dollars,39804.827705
Middlefield,2014,Manufacturing,US Dollars,97101.982387
Middlefield,2014,Retail Trade,US Dollars,21624.693227
Middlefield,2014,Health Care & Social Assistance,US Dollars,23351.702032
Middlefield,2014,Other Services (Except Public Admin),US Dollars,18474.157895
Middlesex County,2014,All Industries,US Dollars,50746
Middlesex County,2014,Local/Municipal Government,US Dollars,50197
Middlesex County,2014,Construction,US Dollars,56138
Middlesex County,2014,Manufacturing,US Dollars,77029
Middlesex County,2014,Retail Trade,US Dollars,29282
Middlesex County,2014,Health Care And Social Assistance,US Dollars,46384
Middlesex County,2014,Accommodation And Food Services,US Dollars,19835
Middletown,2014,State Government,US Dollars,81172.606687
Middletown,2014,Construction,US Dollars,56345.468273
Middletown,2014,Manufacturing,US Dollars,92065.243269
Middletown,2014,Retail Trade,US Dollars,35973.350048
Middletown,2014,Health Care & Social Assistance,US Dollars,54958.209162
Middletown,2014,Accommodation And Food Services,US Dollars,22533.87775
Milford,2014,Local/Municipal Government,US Dollars,56907.694465
Milford,2014,Construction,US Dollars,70652.74472
Milford,2014,Manufacturing,US Dollars,67452.657808
Milford,2014,Retail Trade,US Dollars,28944.483708
Milford,2014,Health Care & Social Assistance,US Dollars,49916.440335
Milford,2014,Accommodation And Food Services,US Dollars,16817.760488
Monroe,2014,Local/Municipal Government,US Dollars,59090.58712
Monroe,2014,Construction,US Dollars,50039.064537
Monroe,2014,Manufacturing,US Dollars,65647.733229
Monroe,2014,Retail Trade,US Dollars,33274.458239
Monroe,2014,Health Care & Social Assistance,US Dollars,42213.681518
Monroe,2014,Accommodation And Food Services,US Dollars,16872.609343
Montville,2014,Local/Municipal Government,US Dollars,39252.7713
Montville,2014,State Government,US Dollars,74113.210395
Montville,2014,Construction,US Dollars,55462.923956
Montville,2014,Manufacturing,US Dollars,51947.187852
Montville,2014,Retail Trade,US Dollars,25679.350259
Montville,2014,Accommodation And Food Services,US Dollars,20820.967805
Morris,2014,Local/Municipal Government,US Dollars,36323.363363
Morris,2014,Construction,US Dollars,30293.805486
Morris,2014,Manufacturing,US Dollars,37003.881706
Morris,2014,Retail Trade,US Dollars,23690.043956
Morris,2014,Administrative & Waste Management,US Dollars,20359.92233
Morris,2014,Other Services (Except Public Admin),US Dollars,33570.396226
Naugatuck,2014,Local/Municipal Government,US Dollars,61532.469609
Naugatuck,2014,Construction,US Dollars,52373.062561
Naugatuck,2014,Manufacturing,US Dollars,59876.740661
Naugatuck,2014,Wholesale Trade,US Dollars,58422.998382
Naugatuck,2014,Retail Trade,US Dollars,27722.305218
Naugatuck,2014,Health Care & Social Assistance,US Dollars,30523.014486
New Britain,2014,Local/Municipal Government,US Dollars,63104.989694
New Britain,2014,State Government,US Dollars,54463.685374
New Britain,2014,Construction,US Dollars,68646.289839
New Britain,2014,Manufacturing,US Dollars,87016.612116
New Britain,2014,Retail Trade,US Dollars,32465.954321
New Britain,2014,Health Care & Social Assistance,US Dollars,54533.000517
New Canaan,2014,Local/Municipal Government,US Dollars,63724.040335
New Canaan,2014,Construction,US Dollars,94796.73931
New Canaan,2014,Manufacturing,US Dollars,77845.565217
New Canaan,2014,Retail Trade,US Dollars,37075.353007
New Canaan,2014,Health Care & Social Assistance,US Dollars,48532.142949
New Canaan,2014,Other Services (Except Public Admin),US Dollars,29670.933713
New Fairfield,2014,Local/Municipal Government,US Dollars,50465.490126
New Fairfield,2014,Construction,US Dollars,38940.377953
New Fairfield,2014,Manufacturing,US Dollars,26289.767442
New Fairfield,2014,Retail Trade,US Dollars,30997.76
New Fairfield,2014,Health Care & Social Assistance,US Dollars,56987.448391
New Fairfield,2014,Accommodation And Food Services,US Dollars,20397.979884
New Hartford,2014,Local/Municipal Government,US Dollars,45606.501144
New Hartford,2014,Construction,US Dollars,37874.626772
New Hartford,2014,Manufacturing,US Dollars,55041.312145
New Hartford,2014,Retail Trade,US Dollars,-9999
New Hartford,2014,Transportation & Warehousing,US Dollars,35106.395876
New Hartford,2014,Accommodation And Food Services,US Dollars,13682.882779
New Haven,2014,Local/Municipal Government,US Dollars,55194.999738
New Haven,2014,Construction,US Dollars,74373.609932
New Haven,2014,Manufacturing,US Dollars,56585.585092
New Haven,2014,Retail Trade,US Dollars,30443.773553
New Haven,2014,Health Care & Social Assistance,US Dollars,61232.863353
New Haven,2014,Accommodation And Food Services,US Dollars,20707.201673
New Haven County,2014,All Industries,US Dollars,53117
New Haven County,2014,Local/Municipal Government,US Dollars,54998
New Haven County,2014,Construction,US Dollars,61259
New Haven County,2014,Manufacturing,US Dollars,64173
New Haven County,2014,Retail Trade,US Dollars,28823
New Haven County,2014,Health Care And Social Assistance,US Dollars,48998
New Haven County,2014,Accommodation And Food Services,US Dollars,17538
New London,2014,Construction,US Dollars,57864.888492
New London,2014,Manufacturing,US Dollars,61761.225715
New London,2014,Retail Trade,US Dollars,35717.646466
New London,2014,Educational Services,US Dollars,55407.493894
New London,2014,Health Care & Social Assistance,US Dollars,60808.803873
New London,2014,Accommodation And Food Services,US Dollars,18066.551578
New London County,2014,All Industries,US Dollars,51015
New London County,2014,Local/Municipal Government,US Dollars,43091
New London County,2014,Construction,US Dollars,58532
New London County,2014,Manufacturing,US Dollars,96816
New London County,2014,Retail Trade,US Dollars,27397
New London County,2014,Health Care And Social Assistance,US Dollars,47583
New London County,2014,Accommodation And Food Services,US Dollars,18847
New Milford,2014,Local/Municipal Government,US Dollars,47428.226823
New Milford,2014,Construction,US Dollars,48043.449604
New Milford,2014,Manufacturing,US Dollars,63922.295438
New Milford,2014,Retail Trade,US Dollars,26938.51782
New Milford,2014,Health Care & Social Assistance,US Dollars,47845.008
New Milford,2014,Accommodation And Food Services,US Dollars,16000.112682
Newington,2014,State Government,US Dollars,87483.279032
Newington,2014,Construction,US Dollars,64899.811262
Newington,2014,Manufacturing,US Dollars,74830.795247
Newington,2014,Retail Trade,US Dollars,29145.965322
Newington,2014,Health Care & Social Assistance,US Dollars,44657.710611
Newington,2014,Accommodation And Food Services,US Dollars,16989.643047
Newtown,2014,Local/Municipal Government,US Dollars,51103.825941
Newtown,2014,Construction,US Dollars,61790.855139
Newtown,2014,Manufacturing,US Dollars,67287.623658
Newtown,2014,Retail Trade,US Dollars,27413.679227
Newtown,2014,Information,US Dollars,133908.72362
Newtown,2014,Health Care & Social Assistance,US Dollars,36988.71934
Norfolk,2014,Local/Municipal Government,US Dollars,43500.231986
Norfolk,2014,Construction,US Dollars,35933.762712
Norfolk,2014,Manufacturing,US Dollars,-9999
Norfolk,2014,Retail Trade,US Dollars,59413.374046
Norfolk,2014,Other Services (Except Public Admin),US Dollars,29941.3875
North Branford,2014,Local/Municipal Government,US Dollars,50832.462385
North Branford,2014,Construction,US Dollars,62306.181191
North Branford,2014,Manufacturing,US Dollars,64106.226829
North Branford,2014,Retail Trade,US Dollars,26119.559921
North Branford,2014,Administrative & Waste Management,US Dollars,35241.637437
North Branford,2014,Health Care & Social Assistance,US Dollars,41150.49635
North Canaan,2014,Construction,US Dollars,45687.663717
North Canaan,2014,Manufacturing,US Dollars,65245.251185
North Canaan,2014,Wholesale Trade,US Dollars,40767.487254
North Canaan,2014,Retail Trade,US Dollars,37032.38693
North Canaan,2014,Health Care & Social Assistance,US Dollars,40493.47613
North Canaan,2014,Accommodation And Food Services,US Dollars,11408.920723
North Haven,2014,Construction,US Dollars,66303.755794
North Haven,2014,Manufacturing,US Dollars,74448.577925
North Haven,2014,Wholesale Trade,US Dollars,70006.371275
North Haven,2014,Retail Trade,US Dollars,32597.214293
North Haven,2014,Health Care & Social Assistance,US Dollars,38264.786605
North Haven,2014,Accommodation And Food Services,US Dollars,17969.018866
North Stonington,2014,Local/Municipal Government,US Dollars,52168.811483
North Stonington,2014,Construction,US Dollars,-9999
North Stonington,2014,Manufacturing,US Dollars,51153.581152
North Stonington,2014,Retail Trade,US Dollars,26140.849741
North Stonington,2014,Health Care & Social Assistance,US Dollars,33982.208219
North Stonington,2014,Accommodation And Food Services,US Dollars,17294.649657
Norwalk,2014,Construction,US Dollars,58803.917986
Norwalk,2014,Manufacturing,US Dollars,155739.35577
Norwalk,2014,Retail Trade,US Dollars,61461.597376
Norwalk,2014,Finance And Insurance,US Dollars,297357.52768
Norwalk,2014,Health Care & Social Assistance,US Dollars,61614.217853
Norwich,2014,Local/Municipal Government,US Dollars,54678.69323
Norwich,2014,State Government,US Dollars,64633.441255
Norwich,2014,Construction,US Dollars,50541.353834
Norwich,2014,Manufacturing,US Dollars,55674.740819
Norwich,2014,Retail Trade,US Dollars,26931.615295
Norwich,2014,Health Care & Social Assistance,US Dollars,50988.340056
Old Lyme,2014,Local/Municipal Government,US Dollars,48553.105769
Old Lyme,2014,Construction,US Dollars,49012.142056
Old Lyme,2014,Manufacturing,US Dollars,46513.421053
Old Lyme,2014,Wholesale Trade,US Dollars,52402.5
Old Lyme,2014,Retail Trade,US Dollars,27942.006006
Old Lyme,2014,Health Care & Social Assistance,US Dollars,33229.64176
Old Saybrook,2014,Local/Municipal Government,US Dollars,42976.652674
Old Saybrook,2014,Construction,US Dollars,59671.252507
Old Saybrook,2014,Manufacturing,US Dollars,49214.596587
Old Saybrook,2014,Retail Trade,US Dollars,29987.738993
Old Saybrook,2014,Health Care & Social Assistance,US Dollars,42715.518352
Old Saybrook,2014,Accommodation And Food Services,US Dollars,21303.241144
Orange,2014,Construction,US Dollars,51079.851351
Orange,2014,Manufacturing,US Dollars,60404.38528
Orange,2014,Retail Trade,US Dollars,24837.749796
Orange,2014,Management Of Companies & Enterprises,US Dollars,109949.75717
Orange,2014,Administrative & Waste Management,US Dollars,25672.917132
Orange,2014,Accommodation And Food Services,US Dollars,18894.709742
Oxford,2014,Local/Municipal Government,US Dollars,45281.301901
Oxford,2014,Construction,US Dollars,58612.185845
Oxford,2014,Manufacturing,US Dollars,58005.749369
Oxford,2014,Retail Trade,US Dollars,33467.63575
Oxford,2014,Transportation & Warehousing,US Dollars,80326.422406
Oxford,2014,Health Care & Social Assistance,US Dollars,31713.278323
Plainfield,2014,Local/Municipal Government,US Dollars,44623.658928
Plainfield,2014,Construction,US Dollars,44040.057313
Plainfield,2014,Manufacturing,US Dollars,54494.763207
Plainfield,2014,Retail Trade,US Dollars,29198.340039
Plainfield,2014,Health Care & Social Assistance,US Dollars,27591.197119
Plainfield,2014,Accommodation And Food Services,US Dollars,14228.756821
Plainville,2014,Local/Municipal Government,US Dollars,51359.512491
Plainville,2014,Construction,US Dollars,65987.695376
Plainville,2014,Manufacturing,US Dollars,72544.118929
Plainville,2014,Retail Trade,US Dollars,26329.072173
Plainville,2014,Health Care & Social Assistance,US Dollars,42063.86027
Plainville,2014,Accommodation And Food Services,US Dollars,16961.170345
Plymouth,2014,Local/Municipal Government,US Dollars,53695.605634
Plymouth,2014,Construction,US Dollars,62874.657849
Plymouth,2014,Manufacturing,US Dollars,53499.065203
Plymouth,2014,Retail Trade,US Dollars,41514.205882
Plymouth,2014,Administrative & Waste Management,US Dollars,23960.563314
Plymouth,2014,Health Care & Social Assistance,US Dollars,23851.3809
Pomfret,2014,Local/Municipal Government,US Dollars,45089.5962
Pomfret,2014,Construction,US Dollars,48369.210918
Pomfret,2014,Manufacturing,US Dollars,45058.15748
Pomfret,2014,Retail Trade,US Dollars,25874.458221
Pomfret,2014,Accommodation And Food Services,US Dollars,17336.735294
Pomfret,2014,Other Services (Except Public Admin),US Dollars,50440.802139
Portland,2014,Local/Municipal Government,US Dollars,51482.959921
Portland,2014,Construction,US Dollars,57436.159588
Portland,2014,Manufacturing,US Dollars,59742.355872
Portland,2014,Retail Trade,US Dollars,41922.989186
Portland,2014,Health Care & Social Assistance,US Dollars,35637.343284
Portland,2014,Accommodation And Food Services,US Dollars,15374.061776
Preston,2014,Local/Municipal Government,US Dollars,42079.593195
Preston,2014,Construction,US Dollars,50437.130097
Preston,2014,Manufacturing,US Dollars,26222.25
Preston,2014,Retail Trade,US Dollars,24196.993464
Preston,2014,Administrative & Waste Management,US Dollars,68444.686047
Preston,2014,Accommodation And Food Services,US Dollars,14926.98385
Prospect,2014,Local/Municipal Government,US Dollars,46138.216696
Prospect,2014,Construction,US Dollars,50204.26102
Prospect,2014,Manufacturing,US Dollars,61181.937395
Prospect,2014,Retail Trade,US Dollars,22259.994657
Prospect,2014,Administrative & Waste Management,US Dollars,62215.668238
Prospect,2014,Health Care & Social Assistance,US Dollars,33864.883361
Putnam,2014,Construction,US Dollars,54042.676208
Putnam,2014,Manufacturing,US Dollars,60114.396273
Putnam,2014,Retail Trade,US Dollars,27622.698606
Putnam,2014,Administrative & Waste Management,US Dollars,22842.636312
Putnam,2014,Health Care & Social Assistance,US Dollars,52192.081552
Putnam,2014,Accommodation And Food Services,US Dollars,16160.381021
Redding,2014,Local/Municipal Government,US Dollars,54701.010486
Redding,2014,Construction,US Dollars,44915.8527
Redding,2014,Manufacturing,US Dollars,-9999
Redding,2014,Retail Trade,US Dollars,32878.339426
Redding,2014,Administrative & Waste Management,US Dollars,45337.968033
Redding,2014,Accommodation And Food Services,US Dollars,16581.614555
Ridgefield,2014,Local/Municipal Government,US Dollars,58710.83024
Ridgefield,2014,Construction,US Dollars,73374.201365
Ridgefield,2014,Manufacturing,US Dollars,-9999
Ridgefield,2014,Retail Trade,US Dollars,36329.835864
Ridgefield,2014,Health Care & Social Assistance,US Dollars,41689.201608
Ridgefield,2014,Accommodation And Food Services,US Dollars,20380.820011
Rocky Hill,2014,Construction,US Dollars,62391.242739
Rocky Hill,2014,Manufacturing,US Dollars,122762.43434
Rocky Hill,2014,Wholesale Trade,US Dollars,75638.751678
Rocky Hill,2014,Retail Trade,US Dollars,39581.429135
Rocky Hill,2014,Health Care & Social Assistance,US Dollars,39137.98997
Roxbury,2014,Local/Municipal Government,US Dollars,33931.616361
Roxbury,2014,Construction,US Dollars,43150.646341
Roxbury,2014,Manufacturing,US Dollars,-9999
Roxbury,2014,Retail Trade,US Dollars,-9999
Roxbury,2014,Administrative & Waste Management,US Dollars,30004.22449
Roxbury,2014,Other Services (Except Public Admin),US Dollars,44633.657143
Salem,2014,Local/Municipal Government,US Dollars,43339.551263
Salem,2014,Construction,US Dollars,42292.071429
Salem,2014,Manufacturing,US Dollars,-9999
Salem,2014,Retail Trade,US Dollars,28281.23301
Salem,2014,Accommodation And Food Services,US Dollars,17188.990196
Salisbury,2014,Construction,US Dollars,45729.135061
Salisbury,2014,Manufacturing,US Dollars,-9999
Salisbury,2014,Retail Trade,US Dollars,30422.203413
Salisbury,2014,Educational Services,US Dollars,51845.242374
Salisbury,2014,Health Care & Social Assistance,US Dollars,35879.65562
Salisbury,2014,Accommodation And Food Services,US Dollars,21854.379341
Scotland,2014,Federal Government,US Dollars,36493.714286
Scotland,2014,Local/Municipal Government,US Dollars,31191.19898
Scotland,2014,Construction,US Dollars,-9999
Scotland,2014,Manufacturing,US Dollars,-9999
Scotland,2014,Retail Trade,US Dollars,-9999
Scotland,2014,Transportation & Warehousing,US Dollars,25717.515789
Seymour,2014,Local/Municipal Government,US Dollars,51314.064619
Seymour,2014,Construction,US Dollars,54524.90398
Seymour,2014,Manufacturing,US Dollars,62220.8895
Seymour,2014,Retail Trade,US Dollars,35331.714561
Seymour,2014,Information,US Dollars,60640.789881
Seymour,2014,Accommodation And Food Services,US Dollars,14059.294172
Sharon,2014,Local/Municipal Government,US Dollars,43270.217391
Sharon,2014,Construction,US Dollars,51608.368098
Sharon,2014,Manufacturing,US Dollars,-9999
Sharon,2014,Retail Trade,US Dollars,27875.640232
Sharon,2014,Health Care & Social Assistance,US Dollars,51978.614148
Sharon,2014,Other Services (Except Public Admin),US Dollars,52530.912281
Shelton,2014,Construction,US Dollars,61345.420145
Shelton,2014,Manufacturing,US Dollars,112398.79761
Shelton,2014,Retail Trade,US Dollars,40753.216858
Shelton,2014,Administrative & Waste Management,US Dollars,31558.60592
Shelton,2014,Health Care & Social Assistance,US Dollars,50757.917141
Sherman,2014,Local/Municipal Government,US Dollars,38052.548458
Sherman,2014,Construction,US Dollars,40503.621951
Sherman,2014,Manufacturing,US Dollars,-9999
Sherman,2014,Retail Trade,US Dollars,-9999
Sherman,2014,Administrative & Waste Management,US Dollars,35402.287625
Sherman,2014,Other Services (Except Public Admin),US Dollars,31936
Simsbury,2014,Local/Municipal Government,US Dollars,54800.460229
Simsbury,2014,Construction,US Dollars,67408.150248
Simsbury,2014,Manufacturing,US Dollars,84107.744886
Simsbury,2014,Retail Trade,US Dollars,33899.08231
Simsbury,2014,Finance And Insurance,US Dollars,124057.89137
Simsbury,2014,Accommodation And Food Services,US Dollars,22629.175238
Somers,2014,Local/Municipal Government,US Dollars,45736.000962
Somers,2014,State Government,US Dollars,77918.814066
Somers,2014,Construction,US Dollars,48499.355556
Somers,2014,Manufacturing,US Dollars,-9999
Somers,2014,Retail Trade,US Dollars,23079.33871
South Windsor,2014,Local/Municipal Government,US Dollars,55692
South Windsor,2014,Construction,US Dollars,58883.16907
South Windsor,2014,Manufacturing,US Dollars,62182.274989
South Windsor,2014,Wholesale Trade,US Dollars,72336.702246
South Windsor,2014,Retail Trade,US Dollars,30230.651405
Southbury,2014,State Government,US Dollars,74063.982416
Southbury,2014,Construction,US Dollars,56296.032258
Southbury,2014,Manufacturing,US Dollars,-9999
Southbury,2014,Retail Trade,US Dollars,24196.503047
Southbury,2014,Health Care & Social Assistance,US Dollars,40158.551905
Southbury,2014,Accommodation And Food Services,US Dollars,19669.416761
Southington,2014,Local/Municipal Government,US Dollars,53485.066274
Southington,2014,Construction,US Dollars,54946.124598
Southington,2014,Manufacturing,US Dollars,62017.285478
Southington,2014,Retail Trade,US Dollars,27397.91255
Southington,2014,Health Care & Social Assistance,US Dollars,39963.722902
Southington,2014,Accommodation And Food Services,US Dollars,16995.335684
Sprague,2014,Local/Municipal Government,US Dollars,35870.494005
Sprague,2014,Construction,US Dollars,41532.635135
Sprague,2014,Manufacturing,US Dollars,63308.089648
Sprague,2014,Retail Trade,US Dollars,20203.654054
Sprague,2014,Accommodation And Food Services,US Dollars,12113.798319
Sprague,2014,Other Services (Except Public Admin),US Dollars,11358.20339
Stafford,2014,Local/Municipal Government,US Dollars,43054.252594
Stafford,2014,Construction,US Dollars,54673.161491
Stafford,2014,Manufacturing,US Dollars,50353.803028
Stafford,2014,Retail Trade,US Dollars,29232.056604
Stafford,2014,Health Care & Social Assistance,US Dollars,43019.611654
Stafford,2014,Accommodation And Food Services,US Dollars,12466.232432
Stamford,2014,Construction,US Dollars,62852.205599
Stamford,2014,Manufacturing,US Dollars,114386.02504
Stamford,2014,Retail Trade,US Dollars,44050.300311
Stamford,2014,Finance And Insurance,US Dollars,294564.49142
Stamford,2014,Health Care & Social Assistance,US Dollars,60597.855721
Sterling,2014,Local/Municipal Government,US Dollars,33151.934783
Sterling,2014,Construction,US Dollars,37257.303371
Sterling,2014,Manufacturing,US Dollars,51944.63731
Sterling,2014,Wholesale Trade,US Dollars,44981.725
Sterling,2014,Retail Trade,US Dollars,-9999
Sterling,2014,Accommodation And Food Services,US Dollars,18013.188119
Stonington,2014,Construction,US Dollars,52249.637759
Stonington,2014,Manufacturing,US Dollars,62318.369888
Stonington,2014,Retail Trade,US Dollars,29596.924824
Stonington,2014,Health Care & Social Assistance,US Dollars,38189.923661
Stonington,2014,Accommodation And Food Services,US Dollars,18682.709213
Stratford,2014,Local/Municipal Government,US Dollars,61652.042911
Stratford,2014,Construction,US Dollars,62644.532026
Stratford,2014,Manufacturing,US Dollars,101249.96808
Stratford,2014,Retail Trade,US Dollars,28594.183926
Stratford,2014,Transportation & Warehousing,US Dollars,49119.192606
Stratford,2014,Health Care & Social Assistance,US Dollars,37152.553321
Suffield,2014,State Government,US Dollars,72251.420483
Suffield,2014,Construction,US Dollars,51060.214487
Suffield,2014,Manufacturing,US Dollars,64339.555634
Suffield,2014,Wholesale Trade,US Dollars,40683.532327
Suffield,2014,Retail Trade,US Dollars,23022.799605
Suffield,2014,Health Care & Social Assistance,US Dollars,35512.536227
Thomaston,2014,Local/Municipal Government,US Dollars,46823.863205
Thomaston,2014,State Government,US Dollars,99393.525159
Thomaston,2014,Construction,US Dollars,51264.065089
Thomaston,2014,Manufacturing,US Dollars,55972.946873
Thomaston,2014,Retail Trade,US Dollars,40008.201163
Thomaston,2014,Accommodation And Food Services,US Dollars,14240.231489
Thompson,2014,Local/Municipal Government,US Dollars,39962.689049
Thompson,2014,Construction,US Dollars,34572.931298
Thompson,2014,Manufacturing,US Dollars,56807.265949
Thompson,2014,Retail Trade,US Dollars,17897.27674
Thompson,2014,Health Care & Social Assistance,US Dollars,38148.922744
Thompson,2014,Accommodation And Food Services,US Dollars,15854.050251
Tolland,2014,Local/Municipal Government,US Dollars,44254.473908
Tolland,2014,Construction,US Dollars,46100.394912
Tolland,2014,Manufacturing,US Dollars,52232.752502
Tolland,2014,Wholesale Trade,US Dollars,84432.671193
Tolland,2014,Retail Trade,US Dollars,24356.711501
Tolland,2014,Health Care & Social Assistance,US Dollars,27762.806842
Tolland County,2014,All Industries,US Dollars,44282
Tolland County,2014,Local/Municipal Government,US Dollars,44529
Tolland County,2014,State Government,US Dollars,64404
Tolland County,2014,Construction,US Dollars,57235
Tolland County,2014,Manufacturing,US Dollars,52402
Tolland County,2014,Retail Trade,US Dollars,29159
Tolland County,2014,Health Care And Social Assistance,US Dollars,39443
Torrington,2014,Local/Municipal Government,US Dollars,55015.989717
Torrington,2014,Construction,US Dollars,68607.393449
Torrington,2014,Manufacturing,US Dollars,53235.348713
Torrington,2014,Retail Trade,US Dollars,29719.31321
Torrington,2014,Health Care & Social Assistance,US Dollars,44112.766673
Torrington,2014,Accommodation And Food Services,US Dollars,16040.288042
Trumbull,2014,Local/Municipal Government,US Dollars,58571.631011
Trumbull,2014,Construction,US Dollars,50219.573586
Trumbull,2014,Manufacturing,US Dollars,64741.118509
Trumbull,2014,Retail Trade,US Dollars,23454.591242
Trumbull,2014,Health Care & Social Assistance,US Dollars,39811.337887
Union,2014,Local/Municipal Government,US Dollars,25692.047904
Union,2014,Construction,US Dollars,-9999
Union,2014,Manufacturing,US Dollars,0
Union,2014,Retail Trade,US Dollars,26783.44918
Vernon,2014,Local/Municipal Government,US Dollars,47901.559826
Vernon,2014,Construction,US Dollars,68993.454155
Vernon,2014,Manufacturing,US Dollars,58563.507289
Vernon,2014,Retail Trade,US Dollars,32241.856171
Vernon,2014,Health Care & Social Assistance,US Dollars,43804.952008
Vernon,2014,Accommodation And Food Services,US Dollars,18549.585581
Voluntown,2014,Local/Municipal Government,US Dollars,33055.047744
Voluntown,2014,State Government,US Dollars,50203.716129
Voluntown,2014,Construction,US Dollars,22840.396313
Voluntown,2014,Manufacturing,US Dollars,-9999
Voluntown,2014,Retail Trade,US Dollars,15091.5
Voluntown,2014,Accommodation And Food Services,US Dollars,14215.06267
Wallingford,2014,Construction,US Dollars,57505.309747
Wallingford,2014,Manufacturing,US Dollars,74879.801376
Wallingford,2014,Retail Trade,US Dollars,33879.304799
Wallingford,2014,Finance And Insurance,US Dollars,89251.933687
Wallingford,2014,Health Care & Social Assistance,US Dollars,44655.357984
Warren,2014,Local/Municipal Government,US Dollars,51797.70088
Warren,2014,Construction,US Dollars,-9999
Warren,2014,Manufacturing,US Dollars,33385.012048
Warren,2014,Retail Trade,US Dollars,16666.875
Warren,2014,Administrative & Waste Management,US Dollars,49270.873646
Warren,2014,Other Services (Except Public Admin),US Dollars,66994.846154
Washington,2014,Local/Municipal Government,US Dollars,52173.733385
Washington,2014,Construction,US Dollars,46974.874636
Washington,2014,Manufacturing,US Dollars,27648.39759
Washington,2014,Retail Trade,US Dollars,29349.588317
Washington,2014,Educational Services,US Dollars,50819.117267
Washington,2014,Accommodation And Food Services,US Dollars,26357.393802
Waterbury,2014,Local/Municipal Government,US Dollars,54074.519823
Waterbury,2014,Construction,US Dollars,57932.802864
Waterbury,2014,Manufacturing,US Dollars,52077.328802
Waterbury,2014,Retail Trade,US Dollars,26959.288428
Waterbury,2014,Health Care & Social Assistance,US Dollars,49388.952278
Waterbury,2014,Accommodation And Food Services,US Dollars,15837.950687
Waterford,2014,Local/Municipal Government,US Dollars,53487.94198
Waterford,2014,Construction,US Dollars,-9999
Waterford,2014,Manufacturing,US Dollars,43108.013201
Waterford,2014,Retail Trade,US Dollars,23255.980497
Waterford,2014,Health Care & Social Assistance,US Dollars,39579.339782
Waterford,2014,Accommodation And Food Services,US Dollars,20592.828752
Watertown,2014,Local/Municipal Government,US Dollars,48717.396488
Watertown,2014,Construction,US Dollars,68621.200365
Watertown,2014,Manufacturing,US Dollars,61861.106725
Watertown,2014,Retail Trade,US Dollars,37869.606486
Watertown,2014,Health Care & Social Assistance,US Dollars,32448.275296
Watertown,2014,Accommodation And Food Services,US Dollars,16425.975904
West Hartford,2014,Construction,US Dollars,59835.590688
West Hartford,2014,Manufacturing,US Dollars,69213.330105
West Hartford,2014,Retail Trade,US Dollars,26737.62422
West Hartford,2014,Educational Services,US Dollars,47437.26277
West Hartford,2014,Health Care & Social Assistance,US Dollars,38904.436962
West Hartford,2014,Accommodation And Food Services,US Dollars,20968.336665
West Haven,2014,Federal Government,US Dollars,83879.033845
West Haven,2014,Local/Municipal Government,US Dollars,53762.9685
West Haven,2014,Construction,US Dollars,52955.588731
West Haven,2014,Manufacturing,US Dollars,55706.572445
West Haven,2014,Retail Trade,US Dollars,32195.259612
West Haven,2014,Health Care & Social Assistance,US Dollars,33689.42426
Westbrook,2014,Construction,US Dollars,37256.519481
Westbrook,2014,Manufacturing,US Dollars,-9999
Westbrook,2014,Retail Trade,US Dollars,28936.066076
Westbrook,2014,Health Care & Social Assistance,US Dollars,22560.602207
Westbrook,2014,Accommodation And Food Services,US Dollars,22331.730174
Westbrook,2014,Other Services (Except Public Admin),US Dollars,22557.519194
Weston,2014,Local/Municipal Government,US Dollars,67958.689589
Weston,2014,Construction,US Dollars,60894.075188
Weston,2014,Manufacturing,US Dollars,0
Weston,2014,Retail Trade,US Dollars,32461.472119
Weston,2014,Other Services (Except Public Admin),US Dollars,33135.797802
Westport,2014,Construction,US Dollars,67473.34934
Westport,2014,Manufacturing,US Dollars,35392.023739
Westport,2014,Retail Trade,US Dollars,39392.027782
Westport,2014,Finance And Insurance,US Dollars,301888.96976
Westport,2014,Health Care & Social Assistance,US Dollars,54973.621084
Westport,2014,Accommodation And Food Services,US Dollars,26858.311655
Wethersfield,2014,Local/Municipal Government,US Dollars,53606.808018
Wethersfield,2014,State Government,US Dollars,63625.554318
Wethersfield,2014,Construction,US Dollars,45913.319095
Wethersfield,2014,Manufacturing,US Dollars,51326.80609
Wethersfield,2014,Retail Trade,US Dollars,23810.103477
Wethersfield,2014,Health Care & Social Assistance,US Dollars,43000.770617
Willington,2014,Local/Municipal Government,US Dollars,46475.239234
Willington,2014,Construction,US Dollars,41976.489796
